 count,prog , option , default , type , help 
2,e2spt_autoboxer.py , ['--nslices'] ,61, int ," This will determine the tilt step between slices, depending on tiltrange. For example, to simulate a 2 deg tilt step supply --nslices=61 --tiltrange=60. Recall that --tiltrange goes from - to + the supplied value, and that there is a central slice or projection at 0 deg, for symmetrical tilt series. "
2,e2refinetorelion2d.py , ['--offsetrange'] ,10, float , Offset search range (pix) 
2,e2refinetorelion2d.py , ['--offsetstep'] ,2, float , Offset search step (pix) 
2,e2project3d.py , ['--outfile'] , e2proj.hdf , None , Output file. Default is 'e2proj.img' 
2,e2fsc.py , ['--outfilt'] , res143_filtered.hdf , str , Output locally filtered average volume 
2,e2fsc.py , ['--outfilte'] , None , str , Apply the local filter to the even map as well and write to specified file 
2,e2fsc.py , ['--outfilto'] , None , str , Apply the local filter to the odd map as well and write to specified file 
2,e2spt_ctf_old.py , ['--outputstem'] ,  , str ," Stem common to all   output image stacks. For example, if --outputstem=myvirus and --save2d is provided,    the phase-flipped images for each subtiltseries wille be saved to myvirus_subtiltptclXXXX.hdf.   If --save3d is provided, the stack of reconstructed subvolumes will be saved to myvirus_stack3d.hdf "
2,e2proc2d.py , ['--outtype'] , None , str ," output image format, 'mrc', 'imagic', 'hdf', etc. if specify spidersingle will output single 2D image rather than 2D stack. "
2,e2fsc_local.py , ['--overwrite'] , False , None , overwrite even/odd input 
2,e2spt_tiltrefine.py , ['--padby'] ,1.5, float , pad by factor. default is 1.5 
2,e2make3d.py , ['--padvol'] , None , str ," Defines the dimensions (x,y,z) or (x,x,x) of the reconstructed volume. If ommitted, implied value based on padded 2D images is used. "
2,e2refinetorelion2d.py , ['--particle_mask_diameter'] ,-1, float , Diameter of the soft circular image mask (in Angstroms) 
2,e2classifyligand.py , ['--postfix'] ,  , str , This string will be appended to each set name to help differentiate the results from multiple runs 
2,e2spt_extract.py , ['--postxf'] , None , str ," a file listing post transforms (see http://eman2.org/e2tomo_more), or for simple symmetry, <sym>,<cx>,<cy>,<cz> where the coordinates specify the center of a single subunit "
2,e2ctf.py , ['--proctag'] , proc , None , Tag added to the name of each particle when using the phaseflipproc options 
2,e2spa_refine.py , ['--ptcl'] ,  , str , particle input 
2,e2proc2d.py , ['--radon'] , False , None , Do Radon transform 
2,e2refinetofrealign.py , ['--randomizemodel'] ,0, None , Optionally randomize the phases of the initial model to this resolution (in Angstroms) 
2,e2ddd_movie.py , ['--realign'] , False , None , Align frames using previous alignment parameters. 
2,e2spt_refine.py ," ['--reference', '--ref'] ",  , None ," 3D reference for iterative alignment/averaging. No reference is used by default. <name> or <name>,# "
2,e2rct.py , ['--reference'] , None , str ," Reference used to align RCT recons to, needs to be aligned to symetry axis is --sym is specified "
2,e2spt_tiltrefine.py , ['--refineastep'] ,1, float , Mean angular variation for refine alignment 
2,e2spt_classaverage.py , ['--refpreprocess'] , False , None ," Default=False. This will preprocess the reference identically to the particles. It is off by default, but it is internally turned on when no reference is supplied. It should probably be off when using a crystal structure (with all positive densities) turned to EM density as an initial model, but it should be on when using an EM map. "
2,e2spt_classaverage.py , ['--refrandphase'] ,0, float , Default=0 (off). Resolution to phase randomize the reference to (or the two copies of the reference if --goldstandardoff is NOT supplied [gold standard refinement is on by default]. 
2,e2evalrefine.py , ['--resolution_all'] , False , None , generates resolution plot with the last iteration of all refine_xx directories 
2,e2evalrefine.py , ['--resolution_vsref'] , None , str ," Computes the FSC between the last iteration of each refine_xx directory and a specified reference map. Map must be aligned, but will be rescaled if necessary. "
2,e2classaverage.py , ['--resultmx'] , None , str ," Specify an output image to store the result matrix. This contains 5 images where row is particle number. Rows in the first image contain the class numbers and in the second image consist of 1s or 0s indicating whether or not the particle was included in the class. The corresponding rows in the third, fourth and fifth images are the refined x, y and angle (respectively) used in the final alignment, these are updated and accurate, even if the particle was excluded from the class. "
2,e2procjson.py , ['--retype'] , None , str ," For JSON files where the keys are image name,# pairs, will change the __type value in the image name in all keys "
2,e2proc2d.py , ['--rfp'] , False , None , this is an experimental option 
2,e2spt_extract.py , ['--rmbeadthr'] ,-1, float , remove 2d particles with high contrast object beyond N sigma at 100A. Note that this may result in generating fewer particles than selected. Default is -1 (include all particles). 0.5 might be a good choice for removing gold beads but may need some testing... 
2,e2spt_refine.py , ['--scipy'] , False , None , test scipy refinement 
2,e2make3dpar.py , ['--seedmap'] , None , str ," If specified this volume will be used as a starting point for the reconstruction, filling any missing values in Fourier space. experimental. "
2,e2buildsets.py , ['--setname'] , all , str , Name of the stack to build 
2,e2ctf.py , ['--sf'] , auto , str , The name of a file containing a structure factor curve. Specify 'none' to use the built in generic structure factor. Default=auto 
2,e2bdb.py , ['--short'] , False , None , Dense listing of names only 
2,e2spt_refine_new.py , ['--smoothN'] ,15, int , number of neighboring particles used for smoothing. default 15 
2,e2ctf.py , ['--snrfilt'] , False , None , Apply SNR filter as part of phase flipping. 
2,e2refinetorelion2d.py , ['--solventmask'] ,  , str , Location of the mask to be used 
2,e2classextract.py , ['--sort'] , False , None ," If set, output .lst file will be sorted. The default is to leave the output grouped by class-average. If (and only if) sorted, duplicate entries will be removed. "
2,e2refine_easy.py , ['--speed'] ,5, int , (1-7) Balances speed vs precision. Larger values sacrifice a bit of potential resolution for significant speed increases. Set to 1 when really pushing resolution. Set to 7 for initial refinements. default=5 
2,e2spt_tiltstacker.py , ['--stackregardless'] , False , None ," ""Stack images found with the common string provided through --stem2stack, even if the number of images does not match the predicted number of tilt angles. "
2,e2make3d.py , ['--start'] , None , str , This is a starting model for FFT reconstruction 
2,e2spt_average.py , ['--symalimasked'] , None , str , This will translationally realign each asymmetric unit to the specified (usually masked) reference  
2,e2spt_align.py , ['--test180'] , False , None , Test for improved alignment with 180 degree rotations even during refine alignment 
2,e2refinetofrealign.py , ['--thresh'] ,0, float , Phase Residual cutoff. Particles with a higher phase residual will not be included in the refinement  
2,e2rct.py , ['--tiltdata'] , None , str , Name of the tilted dataset 
2,e2buildstacks.py , ['--tilts'] , False , None , Write results to 'tiltseries' directory in current project. 
2,e2ddd_external.py , ['--tiltseries_name'] ,  , str , Specify the name of the output tiltseries. A .mrc extension will be appended to the filename provided. 
2,e2spt_tiltstacker.py , ['--tiltstep'] ,0, float , Step between tilts. Required if using --stem2stack. 
2,e2evalrefine.py , ['--timing'] , False , None , Report on the time required for each step of each refinement run 
2,e2evalrefine.py , ['--timingbypath'] , False , None , Report on the CPU time required in each refine_xx folder 
2,e2make3d.py , ['--tlt'] , None , str , An imod tlt file containing alignment angles. If specified slices will be inserted using these angles in the IMOD convention 
2,e2spt_extract.py , ['--tltkeep'] ,1, float , keep a fraction of tilt images with good score determined from tomogram reconstruction 
2,e2spt_autoboxer.py , ['--tomogram'] ,  , str , Name of the tomogram. 
2,e2spt_recompute.py , ['--tomograms'] ,  , str , Comma separated list of tomograms with REC extension from which all particles in --stacks came from. 
2,e2proc3d_huge.py , ['--trans'] ,0, str ," Translate map by dx,dy,dz  "
2,e2refine_easy.py , ['--treeclassify'] , False , None , Classify using a binary tree. 
2,e2refine_easy.py , ['--treeincomplete'] ,0, int , Used only in binary tree classification. Incompleteness of the tree on each level.Default=0 
2,e2basis.py , ['--txtout'] , False , None , Output will be a multicolumn text file suitable for plotting 
2,e2rct.py , ['--untiltdata'] , None , str , Name of the tilted dataset 
2,e2classaverage.py , ['--usefilt'] , None , None ," Specify a particle data file that has been low pass or Wiener filtered. Has a one to one correspondence with your particle data. If specified will be used to align particles to the running class average, however the original particle will be used to generate the actual final class average "
2,e2evalimage.py , ['--usefoldername'] , False , None ," If you have the same image filename in multiple folders, and need to import into the same project, this will prepend the folder name on each image name "
2,e2spt_average.py , ['--wedgesigma'] ,3, float , Threshold for identifying missing data in Fourier space in terms of standard deviation of each Fourier shell. Default 3.0 
2,e2ctf.py , ['--wiener'] , False , None , Wiener filter (optionally phaseflipped) particles. 
2,e2boxer.py , ['--write_dbbox'] , False , None , Export EMAN1 .box files 
2,e2proc2d.py , ['--writejunk'] , False , None , Writes the image even if its sigma is 0. 
1,e2proc2d.py , ['--addfile'] , None , str , Adds the volume to another volume of identical size 
1,e2procheader.py , ['--addfilename'] , False , None , Adds the original filename of a file or stack to the header of each particle. This only works for .hdf files. 
1,e2initialmodel_sgd.py , ['--addnoise'] ,3, float , Add noise on particles at each iteration. Stablize convergence for some reason. 
1,e2pdb2mrc.py , ['--addpdbbfactor'] , False , None ," Use the bfactor/temperature factor as the atom blurring radius, equivalent to Gaussian lowpass with 1/e width at 1/bfactor "
1,e2spt_trajfromrefine.py , ['--ali2d'] , None , str ,  
1,e2spt_trajfromrefine.py , ['--ali3dnew'] , None , str ,  
1,e2spt_trajfromrefine.py , ['--ali3dold'] , None , str ,  
1,e2ddd_movie.py , ['--align_frames'] , False , None , Perform whole-frame alignment of the input stacks 
1,e2rct.py , ['--aligngran'] ,10, float ," Fineness of global search in e2align3d.py, default=10.0 "
1,e2refine2d_bispec.py , ['--alignsort'] , False , None , This will align and sort the final class-averages based on mutual similarity. 
1,e2spt_subtlt_local.py , ['--aliptcls2d'] ,  , str , optional aliptcls input. the program can start search from the position from last run. 
1,e2spt_subtlt_local.py , ['--aliptcls3d'] ,  , str , optional aliptcls input. 
1,e2classifyligand.py , ['--alistacks'] ,-10000000000, float ," If sum of cmp results is less than the spefified value, will save the aligned particle to a per-class stack "
1,e2bdb.py , ['--all'] , False , None , List per-particle info 
1,e2ddd_movie.py , ['--allali'] , False , None , Average of all aligned frames. 
1,e2procjson.py , ['--allinfo'] , False , None , Uses all of the .json files in info/ rather than specifying a list on the command line 
1,e2spt_extract.py , ['--alltomograms'] , False , None , use all tomograms. 
1,e2procpdb.py , ['--alpha'] ,0, float , alpha in imagic convention. 
1,e2procpdb.py , ['--alt'] ,0, float , alt in eman convention. 
1,e2make3dpar.py , ['--altedgemask'] , False , None ," If set, assumes tomographic data with a thin specimen, and masks out the +-X edges based on the alt Euler angle. "
1,e2refinetorelion3d.py , ['--amplitudecontrast'] ,0.07, float , Amplitude Contrast value for the micrographs 
1,e2gmm_refine.py , ['--ampreg'] ,0, float , regularizer for the Gaussian amplitudes in the first 1/2 of the iterations. Large values will encourage all Gaussians to have similar amplitudes. default = 0 
1,e2classvsproj.py , ['--ang'] ,10, float , Angle between projections if 3Dmap provided 
1,e2ptclvsmap.py , ['--angstep'] ,9, float , Angular separation of projections. Default 9.0 degrees. 
1,e2procpdb.py , ['--animorph'] , None , str ," This will use a morph vector file (segment3d) to morph atom positions,#P [animorph=<n>,<apix>,<vecfile>] "
1,e2evalrefine.py , ['--anisotropy'] ,-1, int , Specify a class-number (more particles better). Will use that class to evaluate magnification anisotropy in the data.  
1,e2bdb.py , ['--appendvstack'] , None , str ," Appends to/creates a 'virtual' BDB stack with its own metadata, but the binary data taken from the (filtered) list of stacks "
1,e2ctfsim.py , ['--apply'] , None , str , A 2-D image file which the CTF will be applied to in real-time 
1,e2spt_simulation.py , ['--applyctf'] , False , None ," Default=False (off). If on, it applies ctf to the projections in the simulated tilt series based on defocus, cs, and voltage parameters. "
1,e2spt_simulation.py , ['--applyfocusdepth'] , False , None ," Default=False (off). If on, this will assign different 'z-height' values to different particles "
1,e2tomoseg_convnet.py , ['--applying'] , False , None , Applying the neural network on tomograms 
1,e2tomo_mwfill.py , ['--applyto'] , None , str , apply to tomo 
1,e2segment3d.py , ['--asymunit'] , False , None , Write points of only one asymmetrical unit. 
1,e2ssehunter.py , ['--atoms'] , none , str , pseudoatoms file 
1,e2ssehunter.py , ['--atomswt'] ,1, float , pseudoatom weight 
1,e2pathwalker.py , ['--atomtype'] , CA , str , Load Atom Type. Default: 'CA'. Options: 'C' or 'all' 
1,e2refinetorelion3d.py , ['--auto_healpix'] ,1.8, str , Local angular search value 
1,e2boxer_old.py , ['--autoboxer'] , None , str ," A key of the swarm_boxers dict in the local directory, used by the workflow. "
1,e2tomogram.py , ['--autoclipxy'] , False , None , Optimize the x-y shape of the tomogram to fit in the tilt images. only works in bytile reconstruction. useful for non square cameras. 
1,e2ctf.py , ['--autohp'] , False , None ," Automatic high pass filter of the SNR only to remove initial sharp peak, phase-flipped data is not directly affected (default false) "
1,e2proc2dmulti.py , ['--autoinvert'] , False , None , Automatically decides whether to invert each stack of images to make particles white (EMAN2 convention). Decision is made for an entire stack. Non-inverted images will NOT BET PROCESSED AT ALL ! 
1,e2boxer.py , ['--autopick'] , None , str ," Perform automatic particle picking. Provide mode and parameter string, eg - auto_local:threshold=5.5 "
1,e2spt_resolutionplot.py , ['--averagefscs'] , False , None , Default=False. Averages FSC curves if --input contains multiple images. 
1,e2spt_intrafsc.py , ['--averagehalves'] , False , None , Default=False. This will average the even and odd volumes. 
1,e2spt_wedge.py , ['--averagestats'] , False , None , Do not launch the GUI and set the average of the missing wedge statistics on all the volumes. 
1,e2spt_mapptclstotomo.py , ['--avg'] ,  , str , 3D volume to insert. spt_xx/threed_xx if unspecified 
1,e2symsearch3d.py , ['--avgiter'] ,1, int ," Default=1. If --keep is different from 1.0 and --average is on, the initial average will include all the particles, but then the percent specified byoptions.keep will be kept (the rest thrown away) and a new average will be computed. If --avgiter > 1, this new average will be compared again against all the particles. The procedure will be repeated for however many iterations --avgiter is given, or the process will stop automatically if in two consecutive rounds exactly the same particles are kept "
1,e2rct.py , ['--avgrcts'] , False , None , If set recons from each CA will be alinged and averaged. 
1,e2proc2d.py , ['--avgseq'] ,0, int ," Averages sets of N sequential frames. eg - if N=4 and the input contains 100 images, the output would be 25 images "
1,e2classifykmeans.py , ['--axes'] , None , str ," Works only for 1-D input images. Specify a range, eg 0-5 to indicate which components to use from each vector. Inclusive. default=all "
1,e2procpdb.py , ['--az'] ,0, float , az in eman convention. 
1,e2spt_autoboxer.py , ['--backgroundstack'] , None , str ," Name of the stack containing a few boxes picked from regions of the tomogram where there where no particles,                 no gold, and no carbon. "
1,e2ddd_movie.py , ['--bad_columns'] ,  , str , Comma separated list of camera defect columns 
1,e2ddd_movie.py , ['--bad_rows'] ,  , str , Comma separated list of camera defect rows 
1,e2classifyligand.py , ['--badgroup'] , False , None , Split the data into 4 groups rather than 2. The extra two groups contain particles more likely to be bad. 
1,e2tomogram.py , ['--badone'] , False , None , Remove one bad tilt during coarse alignment. seem to work better with smaller maxshift... 
1,e2classifyligand.py , ['--badqualsig'] ,0.5, float ," When identifying 'bad' particles, particles with similarities >mean+sigma*badqualsig will be considered bad. Default 0.5 "
1,e2classifyligand.py , ['--badsepsig'] ,0.25, float ," When identifying 'bad' particles, if s1/s2 are the similarities to reference 1/2, then those where |s1-s2| < sigma*badsepsig will be excluded. Default 0.25  "
1,e2basis.py , ['--basislist'] , None , str ," List of basis vectors to use, comma delimited. "
1,e2refine2d_bispec.py , ['--basisrefs'] , None , str , Will use a set of existing class-averages/projections to generate the Eigenbasis for classification. This must be an image stack with the same dimensions as the particle data. 
1,e2tomoseg_convnet.py , ['--batch'] ,20, int , Batch size for the stochastic gradient descent. Default is 20. 
1,e2gmm_refine.py , ['--batchsz'] ,32, int , batch size 
1,e2speedtest.py , ['--best'] , False , None , rtf_best alignment 
1,e2ddd_movie.py , ['--bestali'] , False , None , Average of best aligned frames. 
1,e2ctf2eman1.py , ['--bf'] ,0, float , Set constant B-factor (as defined in EMAN1) for all images. 
1,e2spt_tomoctf.py , ['--bgcurve'] , None , str , load a curve of background power spectrum to substract for ctf estimation. 
1,e2ctf.py , ['--bgmask'] ,0, int , Background is computed using a soft mask of the center/edge of each particle with the specified radius. Default radius is boxsize/2.6. 
1,e2spt_tiltstacker.py , ['--bidirectional'] , False , None ," This will assume the first image is at 0 degrees and will stack images from --lowerend through 0, and then will stack the rest from 0+tiltstep throgh --upperend. If --negativetiltseries is supplied, images will be stacked from --upperend through 0, then from 0-tiltstep through --lowerend. "
1,e2ddd_external.py , ['--binby'] , None , int ," The degree of binning for final image. Default is 1, i.e. no binning. Note that this option takes only integer values. "
1,e2speedtest.py , ['--bispec'] , False , None , new rtf with usebispec 
1,e2compress.py , ['--bits'] ,10, int ," Bits to retain in the output file, 0 or 2-16. 0 is lossless floating point compression. <0 will store completely uncompressed "
1,e2classaverage.py , ['--bootstrap'] , False , None , Ignored. Present for historical reasons only. 
1,e2import.py , ['--box_type'] , boxes , None ," Type of boxes to import, normally boxes, but for tilted data use tiltedboxes, and untiltedboxes for the tilted  particle partner "
1,e2spt_boxer.py , ['--box2d'] , False , None , Boxing 2D particls from tomograms. 
1,e2spt_boxer.py , ['--box3d'] , False , None , Boxing 3D particls from tomograms (default). 
1,e2tomoseg_buildtrainset.py , ['--boxes_negative'] , None , str , Input boxes of negative samples 
1,e2tomoseg_buildtrainset.py , ['--boxing'] , False , None , Boxing particles. 
1,e2spt_extract.py , ['--boxsz_unbin'] ,-1, int , box size in unbinned tomogram 
1,e2spt_boxer_old.py , ['--bruteaverage'] , False , None ," Default=False. If specified, this will generate an ""as is"" average of all the subvolumes (no alignment performed). This can be useful to see if, on average, particles correspond to the desired specimen and are reasonably centered. "
1,e2spt_refinemulti_old.py , ['--btref'] ,0, int ," WARNING: MIGHT BE BUGGY OR NOT WORKING. Mulst supply references through --ref. Default=0 (internally turned on and set to 64). Size of the SUBSET of particles to use to build an initial reference by calling e2spt_binarytree.py. By default, the largest power of two smaller than the number of particles in --input will be used. For example, if you supply a stack with 150 subtomograms, the program will automatically select 128 as the limit to use because it's the largest power of 2 that is smaller than 150. But if you provide, say --btref=100, then the number of particles used will be 64, because it's the largest power of 2 that is still smaller than 100. "
1,e2tilefile.py , ['--build'] , None , str , Build a new tile file from the specified image 
1,e2tilefile.py , ['--buildpspec'] , None , float ," Builds 1D and 2D power spectra for the images when building, Value is A/pix for image. "
1,e2tomoseg_buildtrainset.py , ['--buildset'] , False , None , Segment particles. 
1,e2spt_tiltrefine.py , ['--buildsetonly'] , False , None , will only prepare particle set for the refinement but skip the actual refinement process. 
1,e2tomogram.py , ['--bxsz'] ,32, int , Box size of the particles for tracking. Default is 32. Maybe helpful to use a larger one for fiducial-less cases.. 
1,e2stacksort.py , ['--byheader'] , None , str , Uses the named header parameter to sort the images 
1,e2stacksort.py , ['--bykurtosis'] , False , None ," Sort by image Kurtosis. No alignment, shrinking, etc. is performed "
1,e2stacksort.py , ['--byptcl'] , False , None ," Sort in order of number of particles represented in each class-average. No alignment, shrinking, etc. is performed "
1,e2tomogram.py , ['--bytile'] , False , None , make final tomogram by tiles..  
1,e2proc2d.py , ['--calccont'] , False , None , Compute the low resolution azimuthal contrast of each image and put it in the header as eval_contrast_lowres. Larger values imply more 'interesting' images. 
1,e2proc2d.py , ['--calcsf'] , None , str ," calculate a radial structure factor for the image and write it to the output file, must specify apix. divide into <n> angular bins "
1,e2spt_autoboxer.py , ['--carbonstack'] , None , str , Name of the stack containing a few boxes picked from the grid hole (or carbon). 
1,e2rct.py , ['--careject'] , None , str ," class averages to reject, default=None "
1,e2refine2d.py , ['--centeracf'] , False , None , This option has been removed in favor of a new centering algorithm 
1,e2spt_subtilt_old.py , ['--centerzerotilt'] , False , None ," Default=False. If specified, this option will center the zerotilt (or least tilted image) for each particle by using as a reference a sharp-circle of radius=box/2 or the value specified through --radius. "
1,e2pathwalker.py , ['--chain'] , None , str , Load Chain. Default: load all chains 
1,e2bdb.py , ['--checkctf'] , False , None ," Verifies that all images in the file contain CTF information, and gives some basic statistics "
1,e2spt_tomoctf.py , ['--checkhand'] , False , None , Check the handedness of tomogram. 
1,e2segment3d.py , ['--chimeraout'] , None , str , Name of file to write center of segments in UCSF Chimera marker format. 
1,e2ctf.py , ['--chunk'] , None , str ," <chunksize>,<nchunk>. Will process files in groups of chunksize, and process the <nchunk>th group. eg - 100,3 will read files 300-399  "
1,e2rct.py , ['--classavg'] , None , str , Name of classavg file created by e2refine2d.py 
1,e2ctf.py , ['--classify'] ,0, int , Highly experimental ! Subclassify particles (hopefully by defocus) into n groups. 
1,e2classesbyref.py , ['--classinfo'] , None , str , Store results in a classinfo_xx.json style file 
1,e2classextract.py , ['--classlist'] , None , str , Filename of a text file containing a (comma or whitespace separated) list of class average numbers to operate on.  
1,e2spt_pcasplit.py , ['--clean'] , False , None , remove outliers before PCA. 
1,e2bdb.py , ['--cleanup'] , False , None , This option will clean up the database cache so files can safely be moved or accessed on another computer via NFS. 
1,e2tomogram.py , ['--clipz'] ,-1, int ," Z thickness of the final tomogram output. default is -1, (5/16 of tomogram length) "
1,e2classifykmeans.py , ['--clsfiles'] , False , None , Write EMAN 1 style cls files with members of each class 
1,e2spa_make3d.py , ['--clsid'] , None , str , only reconstruct a class of particles 
1,e2classifykmeans.py , ['--clsmx'] , None , str ," Standard EMAN2 output suitable for use with e2classaverage, etc. "
1,e2spt_hac.py , ['--clusters'] ,1, int ," Number of clusters to group the data in after the 1st iteration, based on correlation. "
1,e2ssehunter.py , ['--coeff'] , none , str , helix correlation file 
1,e2ssehunter.py , ['--coeffwt'] ,1, float , helix correlation weight 
1,e2tiltvalidate.py , ['--colorzaxis'] , False , None , Color scatter dots by Z axis 
1,e2compress.py , ['--compresslevel'] , None , int ," Compression level to use when writing. No impact on image quality, but large impact on speed. Default = 1 "
1,e2ctf.py , ['--computesf'] , False , None , Will determine the structure factor*envelope for the aggregate set of images 
1,e2stackanim.py , ['--contrast'] ,1, float , Relative setting. Try 0.75 if images too bright. Default 1.0  
1,e2gmm_refine.py , ['--conv'] , False , None , use convolutional network for heterogeneity analysis. 
1,e2spt_subtilt_old.py , ['--coords2d'] ,  , str , File in .txt format containing the coordinates of particles determined from the aligned 0 tilt image in the supplied tiltseries. 
1,e2spt_subtilt_old.py , ['--coords3d'] ,  , str , File in .txt format containing the coordinates of particles determined from the reconstructed tomogram of the supplied tiltseries. 
1,e2tomogram.py , ['--correctrot'] , False , None , correct for global rotation and position sample flat in tomogram. 
1,e2proclst.py , ['--create'] , None , str ," to use this option, the input files should be image files. Specify an .lst or .lsx file to create here (e.g., --create mylst.lst) with references to all of the images in the inputs. "
1,e2boxer_old.py , ['--cter'] , False , None , CTF estimation using cter 
1,e2ctf2eman1.py , ['--ctfcoverage'] , False , None , Create a map showing the integrated SNR for the combined data. 
1,e2rawdata.py , ['--ctfest'] , False , None , Perform CTF fitting on the (tiled) frame 
1,e2spt_subtilt_from_imod.py , ['--ctffile'] , None , str , Estimated CTF 
1,e2spt_ctf_old.py , ['--ctfparamsfile'] ,  , str ," This should be a text file   with ctf parameters in the following format;   defocus=value voltage=value cs=value apix=value bfactor=value ampcont=value   A single space should separate each parameter from the next.   Do not write any unit symbols for the values; just the numerical value.   Defocus should be in microns, voltage in kV, apix in angstroms per pixel, and ampcont (amplitude contrast)   should be a decimal; for example, 0.1 for 10 percent amplitude contrast.   IF you want to use DIFFERENT PARAMETERS PER IMAGE, then the file must contain   multiple rows with the different values.   The first row will be used to phase flip the first image,   the second row to phase flip the second, etc. "
1,e2spt_tiltrefine_oneiter.py , ['--ctfweight'] , False , None , weight by ctf 
1,e2spt_extract.py , ['--curves_overlap'] ,0.5, float , fraction of overlap when generating particle along curves. default is 0.5 
1,e2spt_extract.py , ['--curves'] ,-1, int , specify curve id to extract particles from saved curves.  
1,e2fsc_local.py , ['--cut'] ,0.2, float ,  
1,e2ssehunter.py , ['--da'] ,5, float , helix angular search step 
1,e2import.py , ['--darkrefs'] ,  , None , Specify a comma separated list of dark refereence stacks/images to import. Files will be placed in movierefs_raw. See --importation for additional options. 
1,e2tiltvalidate.py , ['--datalabels'] , False , None , Add data labels to the plot 
1,e2tiltvalidate.py , ['--datalabelscolor'] , #00ff00 , str , Set the color of the data labels. Any vaild matplotlib color is ok 
1,e2helixboxer.py , ['--db-add-hcoords'] , None , str , Append any unique helix coordinates to the database from the specified file (in EMAN1 *.box format). Use --helix-width to specify a width for all boxes. 
1,e2helixboxer.py , ['--db-set-hcoords'] , None , str , Replaces the helix coordinates in the database with the coordinates from the specified file (in EMAN1 *.box format). Use --helix-width to specify a width for all boxes. 
1,e2boxer_old.py , ['--dbls'] , None , str ," data base list storage, used by the workflow. You can ignore this argument. "
1,e2classaverage.py , ['--dbpath'] , . , None , Ignored. Present for historical reasons. 
1,e2ddd_movie.py , ['--de64'] , False , None ," Perform gain image correction on DE64 data. Note, these should not be normalized. "
1,e2classaverage.py , ['--decayedge'] , False , None , Applies an edge decay to zero on the output class-averages. A very good idea if you plan on 3-D reconstruction. 
1,e2gmm_analysis.py , ['--decoder'] , None , str , decoder input 
1,e2gmm_refine.py , ['--decoderout'] , None , str , Save the trained decoder model. Filename should be .h5 or .tf 
1,e2spt_subtilt_from_imod.py , ['--defcol'] ,2, int , Which column of ctf file is the defocus 
1,e2ddd_external.py , ['--defect_file'] , None , str , Specify the camera defects file. 
1,e2spt_ctf_old.py , ['--defocilist'] ,  , str , Text file containing   a single column of defocus values in microns. The file should have as many   defocus values as images in the tiltseries or subtiltseries supplied. 
1,e2spt_ctf_old.py , ['--defocusbottom'] , False , None ," Assumes the signal for defocus measurement (e.g., carbon film) is at the top layer of the tomogram. "
1,e2ctffind3util.py , ['--defocusstep'] ,0, float , The step width for grid search (microns) 
1,e2spt_ctf_old.py , ['--defocustop'] , False , None ," Assumes the signal for defocus measurement (e.g., carbon film) is at the top layer of the tomogram. "
1,e2spt_ctf_old.py , ['--defocusvariationlimit'] ,0.1, float , default=0.1. total variation in defocus (in micrometers) tolerated within a strip and still consider it a region of 'constant defocus'. 
1,e2bdb.py , ['--delete'] , False , None , This will delete (or at least empty) the named database(s) 
1,e2proclst.py , ['--dereforig'] , None , str , Extract the data_source and data_n parameters from each image in the file and create a new .lst file referencing the original image(s) 
1,e2ddd_external.py , ['--device_num'] ,0, str ," When possible, use this device to process movie frames. Default is GPU. "
1,e2ctf2eman1.py , ['--df'] , False , None , Calculate defocus from entire CCD frame. 
1,e2spt_tomoctf.py , ['--dfrange'] ," 2.0,7.0,0.02 ", str ," Search range of defocus (start, end, step). default is 2., 7, 0.02 "
1,e2ctf2eman1.py , ['--dfval'] ,0, float , Set constant defocus for all images (positive is underfocus). 
1,e2spt_autoboxer.py , ['--dilutionfactor'] ,4, int ," Default=4. Determines how many particles will be pre-picked as putative particles. For example, if                 if the tomogram is broken up into subregions of volume V to look for particles in each                 and --dilutionfactor=1, then, the number of best-correlating subvolumes from the subregion                 that will be initially selected as potential particles will be n=V/(pv*D) where 'pv' is the volume of one particle                 calculated based on --particleradius or --boxsize, or the template's boxsize ['nx']; 'D' is the dilution factor;                 therefore, the larger D is, the fewer locations that will be initially picked as potential particles (before any pruning). "
1,e2tilefile.py , ['--display'] ,  , str ," Displays a specific tile (level,x,y)) "
1,e2pathwalker.py , ['--dmax'] ,10, float , Maximum Ca-Ca length 
1,e2pathwalker.py , ['--dmin'] ,2, float , Mininum Ca-Ca length 
1,e2boxer_old.py , ['--do_ctf'] , None , str , Name of file whose ctf estimation parameters (obtained via some previous run of Gauss autoboxer via the GUI) should be used for automatic ctf estimation. 
1,e2tiltvalidate.py , ['--docontourplot'] , False , None , Compute a contour plot 
1,e2spt_classaverage.py , ['--donotaverage'] , False , None ," Default=False. If e2spt_refinemulti.py is calling e2spt_classaverage.py, the latter need not average any particles, but rather only yield the alignment results. "
1,e2tomopreproc.py , ['--dontcleanup'] , False , None ," If specified, intermediate files will be kept. "
1,e2align3d.py , ['--dotrans'] ,1, int ," Do translational search, default=1 "
1,e2align3d.py , ['--dphi'] ,30, float ," step size for the inplane angle phi, default=30.0 "
1,e2tomogram.py , ['--dryrun'] , False , None , skip final reconstruction 
1,e2spt_tempmatch.py , ['--dthr'] ,-1, float , distance threshold 
1,e2spt_simulation.py , ['--dualaxis'] , False , None , Default=False. Simulate subtomograms made of two independent and orthogonal tilt series. 
1,e2procpdb.py , ['--e0'] ,0, float , e0 in quaternion convention. 
